sourceTypeID,yearID,ageID,ageFraction
61,2011,1,0.0362868
61,2011,0,0.0378394
62,2011,30,0.000679027
62,2011,29,0.00018516
62,2011,28,0.000241502
62,2011,27,0.00119752
62,2011,26,0.00231664
62,2011,25,0.00184621
62,2011,24,0.00179757
62,2011,23,0.00682386
62,2011,22,0.00792062
62,2011,21,0.00824589
62,2011,20,0.00836821
62,2011,19,0.0117041
62,2011,18,0.0196993
62,2011,17,0.0259503
62,2011,16,0.0403398
62,2011,15,0.04085
62,2011,14,0.043457
62,2011,13,0.0534112
62,2011,12,0.0704795
62,2011,11,0.0634013
62,2011,10,0.0457373
62,2011,9,0.0441519
62,2011,8,0.0442472
62,2011,7,0.0606754
62,2011,6,0.0769523
62,2011,5,0.0860996
62,2011,4,0.0517769
62,2011,3,0.0489525
62,2011,2,0.0436075
62,2011,1,0.0435115
62,2011,0,0.0453732
11,2011,0,0.0968699
11,2011,1,0.0764804
11,2011,2,0.0536504
11,2011,3,0.100863
11,2011,4,0.0911582
11,2011,5,0.0863664
11,2011,6,0.0756326
11,2011,7,0.0641648
11,2011,8,0.0543076
11,2011,9,0.0483806
11,2011,10,0.0410011
11,2011,11,0.0327298
11,2011,12,0.0247384
11,2011,13,0.0211093
11,2011,14,0.0201964
11,2011,15,0.0177002
11,2011,16,0.0133328
11,2011,17,0.015341
11,2011,18,0.0125025
11,2011,19,0.0104609
11,2011,20,0.00828229
11,2011,21,0.00671335
11,2011,22,0.00497652
11,2011,23,0.00421234
11,2011,24,0.00416261
11,2011,25,0.00345857
11,2011,26,0.00291115
11,2011,27,0.00260131
11,2011,28,0.00190152
11,2011,29,0.00147268
11,2011,30,0.00232173
41,2011,0,0.0690734
41,2011,1,0.0635759
41,2011,2,0.0610717
41,2011,3,0.0672534
41,2011,4,0.068818
41,2011,5,0.0680819
41,2011,6,0.0673477
41,2011,7,0.0527487
41,2011,8,0.0415234
41,2011,9,0.0356963
41,2011,10,0.0403159
41,2011,11,0.0429254
41,2011,12,0.0416148
41,2011,13,0.0315367
41,2011,14,0.0256594
41,2011,15,0.0212147
41,2011,16,0.027572
41,2011,17,0.0212296
41,2011,18,0.0174753
41,2011,19,0.012872
41,2011,20,0.0145864
41,2011,21,0.0163697
41,2011,22,0.0162361
41,2011,23,0.0151061
41,2011,24,0.015702
41,2011,25,0.0131714
41,2011,26,0.0115036
41,2011,27,0.00905187
41,2011,28,0.00357233
41,2011,29,0.00301081
41,2011,30,0.00408365
42,2011,0,0.0610486
42,2011,1,0.0561898
42,2011,2,0.0539765
42,2011,3,0.0594401
42,2011,4,0.0608229
42,2011,5,0.0601723
42,2011,6,0.0595234
42,2011,7,0.0466205
42,2011,8,0.0366993
42,2011,9,0.0315492
42,2011,10,0.0356321
42,2011,11,0.0379384
42,2011,12,0.0367801
42,2011,13,0.0431658
42,2011,14,0.0394412
42,2011,15,0.03633
42,2011,16,0.0297728
42,2011,17,0.0259629
42,2011,18,0.0215347
42,2011,19,0.018696
42,2011,20,0.018911
42,2011,21,0.0276786
42,2011,22,0.0210571
42,2011,23,0.0165766
42,2011,24,0.0153357
42,2011,25,0.0129194
42,2011,26,0.0110864
42,2011,27,0.00864229
42,2011,28,0.00819572
42,2011,29,0.00441966
42,2011,30,0.00388099
43,2011,0,0.0673759
43,2011,1,0.0620136
43,2011,2,0.0595708
43,2011,3,0.0656007
43,2011,4,0.0671268
43,2011,5,0.0664088
43,2011,6,0.0656926
43,2011,7,0.0514524
43,2011,8,0.040503
43,2011,9,0.0348191
43,2011,10,0.0393251
43,2011,11,0.0418705
43,2011,12,0.0405921
43,2011,13,0.0320336
43,2011,14,0.0298405
43,2011,15,0.0257342
43,2011,16,0.0328724
43,2011,17,0.0158638
43,2011,18,0.0189441
43,2011,19,0.0152802
43,2011,20,0.0195048
43,2011,21,0.0220305
43,2011,22,0.0125696
43,2011,23,0.0149463
43,2011,24,0.0151399
43,2011,25,0.0132143
43,2011,26,0.0113458
43,2011,27,0.00876128
43,2011,28,0.00320056
43,2011,29,0.00234381
43,2011,30,0.00402298
54,2011,0,0.0668769
54,2011,1,0.0615542
54,2011,2,0.0591296
54,2011,3,0.0651148
54,2011,4,0.0666296
54,2011,5,0.0659169
54,2011,6,0.0652061
54,2011,7,0.0510713
54,2011,8,0.040203
54,2011,9,0.0345612
54,2011,10,0.0390338
54,2011,11,0.0415604
54,2011,12,0.0402915
54,2011,13,0.0236871
54,2011,14,0.0364701
54,2011,15,0.0225817
54,2011,16,0.026644
54,2011,17,0.0254054
54,2011,18,0.0174829
54,2011,19,0.0153364
54,2011,20,0.0114082
54,2011,21,0.0149425
54,2011,22,0.0193032
54,2011,23,0.0171206
54,2011,24,0.0167222
54,2011,25,0.0123291
54,2011,26,0.0130894
54,2011,27,0.0132775
54,2011,28,0.00860143
54,2011,29,0.00502163
54,2011,30,0.00342725
