yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
2011,11,1,32982,0
2011,21,0,568797,0
2011,31,0,321215,0
2011,32,0,107313,0
2011,41,1,25.6022,0
2011,42,1,95.4907,0
2011,43,1,854.858,0
2011,51,1,320.511,0
2011,52,1,10772.9,0
2011,53,1,452.428,0
2011,54,1,2707.48,0
2011,61,1,2488.31,0
2011,62,1,2606.91,0
